upsilon,epsilon,delta
2.88203740425408,0.580299562524306,0.0265839913700055
2.1281481980253,0.525049370589666,0.0448113652989268
2.87165693753865,0.535387841584627,0.0188545236288384
2.91569927054457,0.541449725683313,0.0547123207970709
3.82165396873374,0.549278649701038,0.00242999125225469
2.61796799457166,0.524094825087115,0.0160154939351417
3.91537517226301,0.609791067148093,0.0483243793033063
3.48089516678825,0.599920653347624,0.0194179396838788
2.03339452157263,0.587956852905452,0.00338594344513491
2.55450231565628,0.586301748362137,0.013012152419053
2.69896542422939,0.561044408283895,0.0535991916983668
3.18430066025816,0.531235478566494,0.0662996659339499
2.43226723518688,0.544914702947717,0.0104238051717263
2.78264910403639,0.598808507278329,0.0389202862509433
2.44821503518149,0.554903242919827,0.0124570641534217
2.62418679873925,0.562592356443871,0.0419338498000801
3.92391859431285,0.528384555101162,0.00429599656650797
3.34158817595802,0.558651839399245,0.06367461584365
3.25366719535552,0.529379207111895,0.0593791858235653
2.71765040410217,0.53430646273843,0.0699917189276591
3.23669983561151,0.585728026836878,0.0490456848125439
2.11526931661181,0.537658662682632,0.0233173814581707
2.315625651679,0.556549114021007,0.0359198717290349
3.86487145280931,0.58216656346852,0.0346783795405272
3.14499779558275,0.530741569732549,0.0325312079819944
3.40822357880417,0.536204662686447,0.0478412334781885
2.01267076311167,0.576707494016737,0.0410841132291779
3.38678328159265,0.56885333109065,0.0588118880497664
2.2185037782928,0.593020491490606,0.0527559907940216
2.98836017547641,0.521575836529955,0.0609143153011613
2.23873123670463,0.614119435755769,0.0542778669132292
3.28942653013393,0.594775126575725,0.030568090456361
3.20449315767735,0.596611414283281,0.0113421146507747
2.05594664646778,0.606997171768919,0.0622888110025693
2.5343283832632,0.592517914548516,0.0171924530466273
2.82059840703383,0.59195703078364,0.0449306913410965
3.43812561294064,0.550397188361268,0.0515463144433219
3.46958129432052,0.523063948827796,0.0647891563291196
3.60100464404561,0.610406028196681,0.00511511060862802
3.33401335878298,0.543461097769905,0.0504771544075385
3.45161062448286,0.542818061732221,0.0344450462100189
3.11178178522736,0.611461924332427,0.0372895495176036
2.56411920342129,0.551033153315773,0.0437180934487656
2.81228928787168,0.589200105906697,0.0381718425491639
3.06977940376382,0.515705742556602,0.0318446195959579
2.41544840688352,0.588163669626694,0.0553657236991357
3.37762419159059,0.552555216357112,0.0218902589204814
3.5795980175864,0.51951123700384,0.0375132471020706
3.96191048093606,0.612316720317118,0.0224569046668429
3.67415665096138,0.522772206593305,0.0240857442804147
3.08878784304485,0.559504796775291,0.00703951003158465
3.71924421031028,0.553387753955554,0.0303143423093203
3.78031724221539,0.572848116987152,0.0284120563417394
2.46005818055943,0.532337212216575,0.0668235150058474
3.77264322853182,0.608424029429443,0.0295288617485575
3.00301867599599,0.547164202420274,0.0327681336098164
3.54480871817563,0.603235623730579,0.0564539013615157
3.03009881863836,0.518919879462104,0.0291695556871966
3.73276553575881,0.52043229095242,0.018038679644065
3.68773884597234,0.569778867811663,0.00306728313789703
2.97901409826707,0.560124894358218,0.0641800922639668
2.74404325966258,0.604773086903151,0.00787251701788977
2.67310355671681,0.538361137932399,0.0497355083533749
3.99944610174745,0.595242285216693,0.0688691422538832
3.17611677920446,0.577552914423635,0.0471637454005331
2.19167738250457,0.555232765771216,0.0429565312457364
2.17035403980408,0.557806687612319,0.0615511257269886
2.39197357358877,0.517745063416893,0.0259114918845892
3.13378734909464,0.540167001866503,0.0149690418711491
2.72298654842656,0.56739435898466,0.051734491521297
3.05677156324964,0.545089349947637,0.0361800913518854
3.31300154502504,0.583877186569618,0.0248980525359139
2.59197518388275,0.574692022288218,0.0681916514476575
3.80600069587585,0.601317067869473,0.0196833590848278
3.62558631884865,0.573841074003605,0.0601729272317793
2.29468434438575,0.581420467517106,0.00905312187636271
3.53345313663129,0.602061797272414,0.0659017959488556
2.51219136524946,0.584480931562139,0.00591663735986687
3.84725049157161,0.613199199595721,0.0335807510477584
2.84600423087832,0.590708104558987,0.0458163449533377
2.65658819705248,0.600965263632592,0.0579938060834073
3.88905930429231,0.607693498343462,0.020695417994177
2.9464412804693,0.571729356785305,0.00844642040425912
2.92423264206387,0.605574234870495,0.0400910315241944
2.76970734314062,0.566128950740676,0.0137152971136011
3.59202662337571,0.516873611177551,0.0627041990745999
2.36383094327524,0.54876212361455,0.0396563433273509
2.25025109512731,0.533129990293412,0.0216255311101303
2.08009191521909,0.563526325230952,0.055788951442251
3.95084356280975,0.578100634217495,0.0253450378129259
3.26627652966417,0.579361171609955,0.0147440819097124
3.51676905663218,0.54608236267115,0.0276463872156944
2.35623631910887,0.570934516743291,0.0466197845490091
3.65359004270751,0.575042294966988,0.0115856910045631
2.32411366991233,0.564189339540666,0.0427433528306149
2.49227103112265,0.565615335179726,0.00633151176390238
2.15525351260323,0.597361169931944,0.0574317364775669
2.07468447574414,0.539880245901877,0.0678625041499641
2.27540849427227,0.526848464098293,0.00993063092251308
3.75053709130734,0.527496088917367,0.0167422529658955
