param,accuracy,ari,f1,v_measure
0,0.28041733855486445,0.007546023533007744,0.0455402578980451,0.022791921001446603
1,0.4512305152422637,0.3490014504916941,0.0947504023952418,0.4517907238616049
2,0.4547051370651923,0.3480505163517099,0.0942577904999642,0.4563176352657982
3,0.4242686017046763,0.15792813380153256,0.167429449851019,0.3364687650218969
4,0.8182254472855717,0.7370135638516392,0.42658003568053,0.769500412695233
5,0.2726234354603394,0.01656328618656156,0.0971424698251992,0.0618242322334318
6,0.864240190432312,0.8472995398997009,0.441616772367764,0.8488832960671532
7,0.6958074176457038,0.7240583033081714,0.707212132866385,0.8059331430999872
8,0.8426725792828074,0.8319444382220916,0.706675149930405,0.8460506783306675
9,0.5237368501881287,0.4794366244137371,0.6464086713086851,0.7402585410491258
10,0.26868809030177376,0.011936732176603324,0.0392566118747622,0.01928183417785204
11,0.4547531290793212,0.3402230144636641,0.0944314809343614,0.4548591648782769
12,0.2708093373262689,0.015431813497857171,0.0402848390354903,0.023030235401033838
13,0.4286934654073562,0.17226401330204888,0.20768346228448495,0.3429772368107092
14,0.6351743069953161,0.4443450141714733,0.214521078303713,0.5813450381831751
15,0.8797896030100592,0.8523375908113988,0.6236137175547779,0.8613401293818685
16,0.6763610535206942,0.6637322648389019,0.555463478596873,0.7633296873731517
17,0.891720417722491,0.8454846664834741,0.5006830635121,0.8532197161091354
18,0.4495603931505797,0.1618915249663977,0.114834602435859,0.2933986932202849
19,0.7149370344774629,0.6515977759840872,0.6823654383462671,0.7958786183729321
20,0.8463583659679029,0.7874402556370715,0.527451026146526,0.8185532165061741
21,0.8480860784765415,0.8526598315047453,0.7221614060293909,0.8615407196113449
22,0.4548299163019274,0.24417646100094104,0.112777165034402,0.39153884910503095
23,0.348940336328035,0.08772683756868807,0.114310828902916,0.1681233949313181
24,0.4155340551332258,0.15405825375932009,0.128992762292361,0.3047239516956657
25,0.4370248790601244,0.1520541338982754,0.109973838572622,0.2951823607544559
26,0.3225831221684712,0.0675407256071779,0.104893399731609,0.17944187416180876
27,0.5149735084082009,0.4930798868407005,0.612338480783427,0.7442018701029879
28,0.6465868079551562,0.5141531124224248,0.5191505872668689,0.6801969276750311
29,0.2590704906703524,0.003601642908492521,0.0337724312062046,0.006700104712386436
30,0.4802848805958688,0.4726228707389011,0.5782113022526489,0.7360541262749294
31,0.7249769638332182,0.7385433992727805,0.7316674200194141,0.8261855214821532
32,0.2712892574675574,0.006695150340604536,0.0406068817293613,0.01926046081310117
33,0.4541964217154266,0.3406094614150207,0.0938892392084549,0.4534560111181114
34,0.6508676956154495,0.6060638327896309,0.6903306075532151,0.7724380209499677
35,0.8545937955924134,0.8431343430521009,0.828160099102559,0.8743814655800191
36,0.4536493127543577,0.19059546338230496,0.154580196410345,0.3762871179264104
37,0.26927359287414576,0.023324336220401563,0.0788956027878081,0.09458100906328368
38,0.4546187514397605,0.17674845852582152,0.16783357557120598,0.3525515479820254
39,0.6871496582968594,0.6571118845668794,0.547385053286934,0.8029433960131607
40,0.8790217307839976,0.8708986489260863,0.6076495593414389,0.8818222555361322
41,0.8165457267910621,0.8295046369252174,0.797168729047274,0.8649275967390789
42,0.4710416186746526,0.29812513522023376,0.20343414427728,0.5203485576469062
43,0.8652192275205406,0.8260019517024699,0.6542849154153321,0.8502386731504558
44,0.6990228825923366,0.6382888395122465,0.680009223016662,0.7973351390352781
45,0.9019715119404133,0.8866037167100917,0.5317777862209471,0.8709310410506861
46,0.2855524840666513,0.0130942775022227,0.0479565470900648,0.03138054408980612
47,0.7898045765184674,0.7881151808677891,0.554860251073834,0.8371679709366787
