param,f1,accuracy,ari,v_measure,k
0,0.6608066,0.8443367432239602,0.8650719204630924,0.8619439166826256,56
1,0.6552761,0.8765965636700843,0.8967603597471566,0.8727573803900494,61
2,0.6500557,0.8678890949598161,0.8920059255576192,0.8671043102107814,21
3,0.6526077,0.851545337548067,0.8680642142838039,0.8606035752819274,47
4,0.6591823,0.8680368439265455,0.8802238106052227,0.8671589301642019,59
5,0.6678972,0.8792657653979696,0.8821157119833309,0.8708473339438109,32
6,0.6479564,0.854307854412834,0.8693650512789508,0.857024976025951,67
7,0.6369342,0.8454020910366923,0.8688613167351709,0.860691278875431,42
8,0.6813045,0.7104061930145844,0.6774272239958735,0.8197134389907456,9
9,0.6471228,0.8701850361401748,0.8931428149489846,0.8682845440969542,70
10,0.6414118,0.8088769912089365,0.8297620550092929,0.8562970935885238,52
12,0.6810384,0.7018581376631556,0.6572412991020348,0.8025774904411999,8
13,0.6515821,0.8626090134645966,0.8776754024671619,0.866338783910498,74
15,0.6684741,0.8358858911401166,0.8331256000539307,0.8568425415315358,26
16,0.6436904,0.8248591524652693,0.8379020070333171,0.8489604986263021,12
17,0.6425546,0.8562130384575007,0.8843324549693868,0.8674932587557778,35
18,0.6516529,0.8439032166505309,0.8512089552132031,0.8581502024412099,22
19,0.6654031,0.8822557379088856,0.8938606371297234,0.8742501814503457,78
20,0.6903068,0.8673933582951324,0.878724520839113,0.8601206140386053,15
21,0.6578385,0.8718180510356036,0.8867034382889077,0.8684803227673067,41
22,0.6563278,0.8644869805943397,0.8664623514680291,0.8530010511426565,14
23,0.6502899,0.8731808408471459,0.8907995449465429,0.8746600062237926,65
24,0.6530352,0.863411912454849,0.8922427229152947,0.8659311290038524,31
25,0.6565307,0.8746038966845909,0.8881405959096998,0.8688900778120426,71
26,0.654484,0.8443853448577527,0.8495989308588429,0.8609812340104833,28
27,0.6498075,0.8656923011123941,0.8817669334313866,0.8654807740464076,66
28,0.6611222,0.8613920285544319,0.8617491071950311,0.8630295064144585,58
30,0.6438632,0.8627548183659742,0.873464538472903,0.8643466602110174,80
32,0.6509664,0.8618100026050476,0.8766675563355637,0.866940285565917,48
33,0.6631687,0.8578868787253152,0.8609704937437945,0.8654098970622258,44
35,0.6506548,0.8627003845361265,0.8809211557852521,0.8638311500632586,37
36,0.6424085,0.869397689672736,0.891995365707569,0.8648762449938636,38
37,0.67576,0.8581396072210363,0.8729354891836053,0.869910519401401,23
38,0.6203128,0.4285633745864001,0.3354334684544232,0.6800481799369649,6
41,0.6601907,0.7337408094310498,0.7166589389346845,0.8351553796919367,11
42,0.6629974,0.8732644356572691,0.8862098833811333,0.8697922215013479,73
43,0.644103,0.8698351043768687,0.8871296437466204,0.864241834764012,64
44,0.6786794,0.884475860540528,0.8932123667192972,0.8733254464789744,30
45,0.6460713,0.8664329900113922,0.8805881621515198,0.8630687883378435,62
47,0.631926,0.6949878107102448,0.6937763121173465,0.822650368251644,10
48,0.6396559,0.6945134587644298,0.6819585825525988,0.8281479063411632,18
49,0.6472583,0.8742209158103059,0.8947153786334127,0.8674952550753652,55
50,0.6562396,0.8340487493827593,0.8369555582467604,0.8574901755390841,36
51,0.6532762,0.8311482038780216,0.8420404368220878,0.8543710748341607,33
52,0.634581,0.8140248762602403,0.8314775976698368,0.8523871825455532,68
54,0.6603074,0.8503730661409914,0.850535943449739,0.8618775228210485,20
55,0.642151,0.8217816970135268,0.8332247060980527,0.8543585755649348,51
56,0.6521606,0.8715206090367934,0.8928843987593109,0.8687819802858782,45
58,0.6143588,0.7208205511036458,0.6844261529004017,0.8163522261758104,13
59,0.6523916,0.8716003157162131,0.8913366631495067,0.8673610772904312,72
60,0.6616951,0.8678404933260236,0.8841794309749041,0.8646392247999357,63
61,0.6675246,0.8214803668840132,0.8320311279498493,0.8591477041575146,53
62,0.6528602,0.8539656989109345,0.8596944627968646,0.8594779234655848,49
63,0.6520398,0.8522821383163617,0.868941968933365,0.8592965234206519,34
67,0.6641199,0.8689097292694591,0.8807662972694436,0.8645150880057101,77
69,0.6226853,0.8461602765238556,0.8620420363420737,0.85388113031231,16
70,0.6492058,0.8738340468053174,0.8952221625324945,0.8683678637542702,75
72,0.6379338,0.8512751124641806,0.8700916292432311,0.8607342230187385,69
73,0.6500138,0.8475561154463769,0.8606353692659816,0.8560284285245249,25
74,0.6577289,0.8456101060293243,0.8611247415987757,0.8540416765230868,17
76,0.6607579,0.8700956091339966,0.8816204608077054,0.8683525912337231,60
77,0.6703394,0.8640359574327451,0.8783891304894641,0.8684738450594733,57
79,0.6770646,0.8745552950507984,0.8792377423923842,0.8690021931032288,79
80,0.6692134,0.8444242261647867,0.8535374178661282,0.8596739744135452,27
82,0.6536676,0.8545644710392585,0.8605024146465662,0.8588729965497773,43
84,0.6287342,0.5033107432939465,0.4370085340197965,0.7356564145804728,7
86,0.6620562,0.8494690757524505,0.8541236930986146,0.8588379328400062,54
87,0.6362896,0.8525737481191168,0.877918062329019,0.8597090918653615,29
90,0.6503539,0.8179616085974346,0.8338403705955308,0.8474332647404508,19
91,0.6438716,0.8643664485425342,0.8908623417668838,0.8657619464016654,76
92,0.6577875,0.8602372537355216,0.8661014506656486,0.8648759380877435,39
94,0.655422,0.8042384512797782,0.8208559498250068,0.8556548461240819,24
98,0.6691525,0.8473753173686687,0.847081681427928,0.8629491141371534,40
