param,f1,accuracy,ari,v_measure
0,0.0716066886325561,0.42606209918567695,0.16524544150386056,0.29768510736942305
1,0.583147336739299,0.7412032422470051,0.7619688983554638,0.8072136233809678
2,0.0850257280301649,0.43396084478964886,0.18485001160085365,0.31472110847582274
3,0.37270063656943003,0.5922366614635247,0.5154143728825419,0.6518892453144561
4,0.0329047733066263,0.27754687529385214,0.043321192693563444,0.07798969281221857
5,0.0744641272201437,0.4363680815451451,0.19484606977958488,0.31177041326340954
6,0.147701652120669,0.4388129313749459,0.17266860444777424,0.33621218363357985
7,0.0265366386577355,0.26088428337690184,0.012661743067440952,0.0241100954155659
8,0.0317963561369707,0.2724314971884227,0.026798759852032443,0.04921575538346101
9,0.07051582713410401,0.43243751528031144,0.1830841831198432,0.3061736302749404
10,0.571769925499724,0.6658642544148345,0.5967939418163627,0.7517522432140186
11,0.440169459694269,0.6289094089105373,0.5658995049987349,0.7096421233834427
12,0.0766276901833829,0.4358979181163372,0.20070417730532397,0.3193783334053735
13,0.199088607188349,0.3465104470313881,0.09715401141113301,0.29312255366907813
14,0.0695772603351396,0.4318168995542851,0.19488256090304887,0.31555488316880975
15,0.46417455467776997,0.6593571925601339,0.5960133733525028,0.7388343156762412
16,0.0320718926017448,0.27965320745491135,0.05649148120811913,0.08193987435967709
17,0.4634505654110271,0.6275929513098754,0.5347874628180105,0.6998374885453194
18,0.40434238547492696,0.610272130592594,0.5375041645529329,0.6928854625496705
19,0.53935437958145,0.6068493408308728,0.5485907843498014,0.7041509432033914
20,0.275699105836415,0.4326820002632915,0.17332448639635586,0.4238378774647445
21,0.30606712689191495,0.5471197788351231,0.38825409524332277,0.5836406137539486
22,0.4960904536134289,0.6390273258984823,0.5644014994129354,0.7175242394362215
23,0.0766474274779258,0.27434976397795874,0.02329188873161768,0.07673570879866395
24,0.158580100512222,0.4947247663287759,0.28188436180663556,0.4547042193678507
25,0.221282597231626,0.5375096383502905,0.42935730188129123,0.5676723948653409
26,0.538324536538589,0.7374419348165422,0.6377990331509532,0.7613472419814926
27,0.369691759689652,0.5951516747221334,0.4106920580635272,0.5979314714269842
28,0.516577663882591,0.629492411562259,0.5708890891503203,0.7286977419962293
29,0.476534087160672,0.6168168055215993,0.576924327320537,0.7214107375967048
30,0.42122459202671103,0.6593571925601339,0.4485987325682362,0.6474490634762653
31,0.113936188177068,0.43933951441521074,0.18207967216382004,0.3319945110870667
32,0.0671231694008024,0.42433189776766406,0.17712428528092086,0.2996395405441355
33,0.5255242952769671,0.703007165290655,0.5198042713357238,0.6987890220441634
34,0.0686453906910891,0.4273033306377297,0.17628588830002015,0.300194794514573
35,0.43693135073762795,0.6487691121433811,0.5435324124115989,0.7210423909435405
36,0.33881613653421505,0.6065860493107404,0.4966106514331415,0.6571042616103523
37,0.393483872760502,0.6106670678727926,0.5400861024835365,0.6940098418697933
38,0.0283919662164069,0.2669776014142516,0.018484795810362813,0.03627624507775383
39,0.30201313120925605,0.5089989280273823,0.37435384916679393,0.5695085279666441
40,0.0876054100743295,0.42818723788388846,0.17367163561692373,0.3059937158082737
41,0.123113458559344,0.4381547025746149,0.17880528726993059,0.33368047261384715
42,0.523572350167834,0.6629868542305305,0.5778974896215363,0.7289521565033511
43,0.171821382573378,0.4447557971150772,0.1872682808194512,0.35728823443976765
44,0.231097949981992,0.5428130818272432,0.3585566477332491,0.5123740978854877
45,0.491243333506906,0.8370601621123502,0.8619752871175946,0.8072396935288788
46,0.10851579047634599,0.44402234216613695,0.19487667441234657,0.3438757007267919
47,0.0820510574941244,0.2733718240460384,0.030124159462289052,0.07373217846549063
48,0.0681741093990637,0.4255167096082598,0.1640977336310689,0.29440255702565044
49,0.0832899166167832,0.28459932672596994,0.04352339179734768,0.1007228412877645
50,0.0325852565924205,0.27570383465292536,0.03516256460416701,0.055602240552182214
51,0.0261315328802092,0.2627273240178286,0.017601105235749454,0.03185023629421755
52,0.0885121359351314,0.42515938540236586,0.1676377561856767,0.2998058466569505
53,0.5964791436134179,0.7553081451112407,0.7344647297492924,0.7808872212885395
54,0.126529375791077,0.4378349914430256,0.18257114557700188,0.33391773190810475
55,0.11182671140445402,0.5079081488725481,0.26586768510472136,0.4128371150596082
56,0.20849112128685698,0.4621894570552724,0.22832545841965454,0.42551147052657373
57,0.156383208457773,0.4735862185695748,0.2264783274913424,0.3896412795126025
58,0.0355818398376375,0.2814774415586858,0.04291616461280156,0.0745751885384126
59,0.0325681229352336,0.2756286085043161,0.037141544854609354,0.06317930086143259
60,0.48986865404942403,0.6257311041317962,0.533207139381737,0.6961160306267261
61,0.0286425458276487,0.26731611908299324,0.01862745252063649,0.035921353744913516
62,0.550186271946507,0.8770804731724747,0.8611177266236354,0.8270992432333669
63,0.132855495065106,0.28296315799371863,0.03829544123282058,0.14389684941135464
64,0.43333647446242696,0.6462302296278186,0.548826856342052,0.7020913840160652
