Algorithm,FrontPosition,count,num_solutions_total,proportion
phenograph,0,5,70,0.07142857142857142
flowsom,0,6,95,0.06315789473684211
chronoclust,0,2,100,0.02
flowsom,1,9,95,0.09473684210526316
phenograph,1,4,70,0.05714285714285714
chronoclust,1,1,100,0.01
phenograph,2,4,70,0.05714285714285714
flowsom,2,5,95,0.05263157894736842
phenograph,3,8,70,0.11428571428571428
flowsom,3,5,95,0.05263157894736842
chronoclust,3,1,100,0.01
flowsom,4,12,95,0.12631578947368421
phenograph,4,5,70,0.07142857142857142
chronoclust,4,1,100,0.01
flowsom,5,11,95,0.11578947368421053
phenograph,5,4,70,0.05714285714285714
flowsom,6,6,95,0.06315789473684211
phenograph,6,3,70,0.04285714285714286
chronoclust,6,1,100,0.01
flowsom,7,6,95,0.06315789473684211
phenograph,7,4,70,0.05714285714285714
chronoclust,7,2,100,0.02
phenograph,8,6,70,0.08571428571428572
flowsom,8,2,95,0.021052631578947368
chronoclust,8,1,100,0.01
phenograph,9,5,70,0.07142857142857142
flowsom,9,4,95,0.042105263157894736
phenograph,10,7,70,0.1
chronoclust,10,1,100,0.01
phenograph,11,7,70,0.1
chronoclust,11,1,100,0.01
phenograph,12,5,70,0.07142857142857142
chronoclust,12,3,100,0.03
flowsom,12,2,95,0.021052631578947368
phenograph,13,1,70,0.014285714285714285
flowsom,13,1,95,0.010526315789473684
flowsom,14,4,95,0.042105263157894736
chronoclust,14,1,100,0.01
flowsom,15,4,95,0.042105263157894736
chronoclust,15,3,100,0.03
flowsom,16,7,95,0.07368421052631578
chronoclust,16,3,100,0.03
phenograph,16,1,70,0.014285714285714285
flowsom,17,6,95,0.06315789473684211
chronoclust,17,2,100,0.02
chronoclust,18,3,100,0.03
flowsom,18,2,95,0.021052631578947368
chronoclust,19,6,100,0.06
flowsom,19,2,95,0.021052631578947368
phenograph,19,1,70,0.014285714285714285
chronoclust,20,2,100,0.02
flowsom,20,1,95,0.010526315789473684
chronoclust,21,5,100,0.05
chronoclust,22,4,100,0.04
chronoclust,23,5,100,0.05
chronoclust,24,5,100,0.05
chronoclust,25,8,100,0.08
chronoclust,26,4,100,0.04
chronoclust,27,6,100,0.06
chronoclust,28,3,100,0.03
chronoclust,29,5,100,0.05
chronoclust,30,3,100,0.03
chronoclust,31,7,100,0.07
chronoclust,32,6,100,0.06
chronoclust,33,1,100,0.01
chronoclust,34,2,100,0.02
chronoclust,35,1,100,0.01
chronoclust,36,1,100,0.01
