Algorithm,FrontPosition,count,num_solutions_total,proportion
flowsom,0,6,100,0.06
chronoclust,0,2,100,0.02
flowsom,1,10,100,0.1
chronoclust,1,1,100,0.01
flowsom,2,8,100,0.08
chronoclust,2,1,100,0.01
flowsom,3,7,100,0.07
flowsom,4,9,100,0.09
chronoclust,4,1,100,0.01
flowsom,5,13,100,0.13
flowsom,6,8,100,0.08
chronoclust,6,1,100,0.01
flowsom,7,8,100,0.08
chronoclust,7,2,100,0.02
flowsom,8,6,100,0.06
chronoclust,8,1,100,0.01
flowsom,9,4,100,0.04
chronoclust,9,1,100,0.01
flowsom,10,8,100,0.08
chronoclust,10,3,100,0.03
flowsom,11,7,100,0.07
chronoclust,11,4,100,0.04
flowsom,12,4,100,0.04
chronoclust,12,3,100,0.03
chronoclust,13,3,100,0.03
flowsom,13,2,100,0.02
chronoclust,14,4,100,0.04
chronoclust,15,4,100,0.04
chronoclust,16,8,100,0.08
chronoclust,17,6,100,0.06
chronoclust,18,3,100,0.03
chronoclust,19,2,100,0.02
chronoclust,20,4,100,0.04
chronoclust,21,7,100,0.07
chronoclust,22,4,100,0.04
chronoclust,23,6,100,0.06
chronoclust,24,3,100,0.03
chronoclust,25,5,100,0.05
chronoclust,26,3,100,0.03
chronoclust,27,7,100,0.07
chronoclust,28,6,100,0.06
chronoclust,29,1,100,0.01
chronoclust,30,2,100,0.02
chronoclust,31,1,100,0.01
chronoclust,32,1,100,0.01
