FlowSOM_cluster,FlowSOM_metacluster
53,28
75,43
99,48
6,3
95,43
83,42
1,1
77,37
51,20
6,3
67,37
71,35
63,42
86,43
78,37
52,35
68,37
82,42
76,43
13,2
30,19
81,35
49,33
86,43
98,37
62,35
68,37
20,13
77,37
83,42
53,28
77,37
73,42
67,37
99,48
48,32
63,42
81,35
92,50
12,2
61,35
59,40
9,6
75,43
90,46
82,42
67,37
18,11
60,41
51,20
55,36
18,11
62,35
69,44
31,20
75,43
76,43
76,43
65,43
81,35
10,7
30,19
2,2
12,2
27,17
86,43
2,2
64,35
28,17
80,44
84,42
5,3
56,37
92,50
84,42
95,43
44,29
49,33
4,2
83,42
12,2
25,10
38,24
12,2
66,37
7,4
79,46
39,25
96,43
26,10
60,41
59,40
37,17
69,44
38,24
93,42
7,4
10,7
92,50
78,37
60,41
60,41
35,23
56,37
80,44
88,37
47,24
7,4
97,43
92,50
3,2
73,42
32,20
66,37
3,2
54,36
1,1
86,43
66,37
63,42
3,2
16,10
72,35
86,43
78,37
3,2
77,37
83,42
4,2
3,2
91,49
49,33
3,2
30,19
54,36
47,24
81,35
81,35
13,2
30,19
82,42
74,42
84,42
98,37
37,17
98,37
68,37
60,41
13,2
93,42
76,43
6,3
100,48
37,17
73,42
17,4
55,36
72,35
67,37
74,42
14,9
76,43
2,2
97,43
9,6
8,5
84,42
87,37
82,42
13,2
2,2
88,37
72,35
90,46
29,18
66,37
77,37
51,20
62,35
46,31
19,12
72,35
18,11
94,43
93,42
48,32
76,43
63,42
5,3
14,9
59,40
51,20
81,35
90,46
31,20
66,37
93,42
83,42
98,37
30,19
92,50
70,45
13,2
72,35
8,5
62,35
51,20
52,35
45,30
30,19
66,37
10,7
53,28
77,37
75,43
75,43
51,20
96,43
51,20
98,37
68,37
96,43
54,36
53,28
37,17
21,14
64,35
9,6
83,42
87,37
100,48
89,48
47,24
57,38
58,39
81,35
93,42
64,35
68,37
47,24
27,17
15,3
73,42
77,37
35,23
62,35
36,10
93,42
93,42
77,37
72,35
1,1
64,35
82,42
17,4
71,35
72,35
54,36
82,42
74,42
66,37
51,20
51,20
60,41
7,4
53,28
7,4
84,42
66,37
40,26
79,46
60,41
43,28
46,31
67,37
91,49
94,43
28,17
17,4
13,2
86,43
38,24
47,24
67,37
36,10
76,43
99,48
72,35
54,36
52,35
77,37
28,17
59,40
7,4
88,37
13,2
90,46
61,35
9,6
86,43
62,35
4,2
52,35
63,42
100,48
83,42
41,20
32,20
65,43
16,10
12,2
4,2
14,9
98,37
76,43
31,20
93,42
7,4
41,20
98,37
67,37
95,43
78,37
12,2
3,2
94,43
39,25
75,43
14,9
3,2
63,42
63,42
73,42
97,43
72,35
9,6
2,2
2,2
87,37
40,26
90,46
93,42
36,10
63,42
54,36
79,46
74,42
26,10
82,42
94,43
3,2
53,28
2,2
28,17
71,35
39,25
9,6
15,3
79,46
96,43
12,2
100,48
47,24
86,43
41,20
74,42
100,48
71,35
63,42
14,9
45,30
71,35
83,42
88,37
20,13
74,42
9,6
55,36
72,35
58,39
24,9
87,37
76,43
71,35
3,2
30,19
41,20
13,2
66,37
23,16
32,20
3,2
4,2
13,2
36,10
40,26
51,20
4,2
47,24
13,2
42,27
84,42
74,42
4,2
3,2
67,37
72,35
12,2
95,43
86,43
73,42
67,37
19,12
45,30
74,42
78,37
48,32
89,48
51,20
13,2
100,48
21,14
8,5
2,2
74,42
45,30
19,12
70,45
47,24
40,26
82,42
9,6
13,2
11,8
77,37
2,2
32,20
41,20
54,36
85,47
31,20
77,37
74,42
67,37
77,37
86,43
15,3
31,20
87,37
6,3
28,17
13,2
90,46
99,48
41,20
2,2
30,19
4,2
98,37
69,44
17,4
53,28
73,42
76,43
95,43
42,27
71,35
32,20
63,42
12,2
45,30
76,43
3,2
94,43
80,44
10,7
4,2
52,35
76,43
2,2
66,37
87,37
66,37
74,42
97,43
87,37
13,2
77,37
78,37
10,7
56,37
2,2
12,2
3,2
59,40
7,4
78,37
32,20
63,42
47,24
63,42
36,10
70,45
12,2
4,2
74,42
27,17
2,2
67,37
4,2
5,3
70,45
83,42
67,37
86,43
92,50
37,17
73,42
73,42
16,10
60,41
98,37
13,2
1,1
53,28
58,39
63,42
24,9
99,48
13,2
14,9
39,25
83,42
80,44
19,12
64,35
97,43
14,9
75,43
53,28
95,43
75,43
7,4
54,36
37,17
96,43
71,35
41,20
53,28
99,48
77,37
54,36
72,35
37,17
97,43
51,20
62,35
3,2
9,6
68,37
52,35
19,12
73,42
35,23
14,9
53,28
96,43
62,35
63,42
86,43
22,15
62,35
87,37
14,9
70,45
6,3
8,5
99,48
43,28
65,43
87,37
30,19
77,37
7,4
3,2
41,20
74,42
17,4
23,16
41,20
87,37
66,37
8,5
88,37
67,37
97,43
25,10
84,42
75,43
81,35
77,37
77,37
85,47
35,23
49,33
12,2
48,32
78,37
96,43
84,42
3,2
6,3
86,43
56,37
69,44
7,4
41,20
63,42
91,49
3,2
45,30
47,24
63,42
36,10
5,3
15,3
66,37
67,37
74,42
3,2
94,43
96,43
78,37
67,37
9,6
69,44
1,1
30,19
88,37
19,12
60,41
62,35
75,43
74,42
41,20
96,43
51,20
54,36
3,2
97,43
8,5
75,43
69,44
68,37
5,3
13,2
3,2
7,4
87,37
78,37
74,42
77,37
86,43
45,30
31,20
20,13
48,32
29,18
28,17
33,21
75,43
65,43
2,2
87,37
76,43
5,3
10,7
14,9
6,3
97,43
86,43
42,27
75,43
88,37
47,24
74,42
93,42
88,37
74,42
60,41
86,43
62,35
52,35
28,17
97,43
43,28
51,20
77,37
76,43
41,20
53,28
98,37
16,10
13,2
25,10
72,35
14,9
97,43
53,28
99,48
17,4
78,37
87,37
90,46
60,41
57,38
65,43
3,2
85,47
92,50
89,48
98,37
48,32
73,42
87,37
27,17
6,3
30,19
8,5
12,2
20,13
97,43
27,17
25,10
73,42
5,3
94,43
68,37
64,35
24,9
88,37
51,20
19,12
86,43
14,9
39,25
62,35
38,24
12,2
95,43
51,20
37,17
35,23
78,37
52,35
