FlowSOM_cluster,FlowSOM_metacluster
15,1
118,25
48,2
194,39
87,25
33,2
124,32
129,25
105,17
193,39
171,25
59,2
4,2
130,25
170,25
76,2
183,25
17,2
118,25
139,33
13,7
73,2
40,14
130,25
142,25
29,2
183,25
69,20
144,25
17,2
1,1
144,25
31,2
171,25
20,3
39,10
5,2
59,2
62,2
167,33
44,2
11,5
97,22
118,25
36,3
17,2
157,25
68,19
12,6
92,17
2,1
82,22
29,2
25,5
93,17
117,25
114,25
131,25
132,25
46,2
98,23
14,8
140,33
153,33
190,36
104,25
126,33
71,2
176,36
9,4
114,25
195,39
159,25
49,2
73,2
102,25
37,13
54,14
182,33
45,2
138,33
150,36
67,18
138,33
133,25
191,36
8,4
27,11
114,25
163,36
11,5
187,40
189,36
24,9
161,37
33,2
190,36
98,23
63,17
156,25
12,6
12,6
135,35
172,37
25,5
169,25
173,38
191,36
127,25
61,2
140,33
32,2
105,17
143,25
196,33
3,2
124,32
103,25
130,25
60,2
196,33
178,36
72,2
116,25
170,25
196,33
130,25
46,2
181,33
140,33
75,2
40,14
196,33
13,7
3,2
174,38
46,2
74,2
168,33
14,8
17,2
5,2
73,2
115,25
189,36
88,25
185,37
12,6
153,33
33,2
114,25
195,39
35,3
174,38
18,2
192,36
3,2
59,2
171,25
19,2
181,33
131,25
126,33
127,25
82,22
67,18
73,2
127,25
76,2
153,33
125,33
183,25
45,2
22,3
70,21
158,25
143,25
105,17
43,2
52,15
84,24
45,2
68,19
86,25
33,2
39,10
114,25
30,2
196,33
167,33
38,9
64,17
73,2
22,3
93,17
131,25
20,3
32,2
169,25
14,8
61,2
24,9
139,33
72,2
67,18
43,2
65,17
73,2
51,13
14,8
143,25
98,23
15,1
157,25
63,17
117,25
92,17
115,25
78,17
142,25
184,25
101,25
16,2
1,1
176,36
122,31
72,2
97,22
19,2
155,25
35,3
36,3
188,38
172,37
187,40
61,2
34,2
43,2
185,37
188,38
190,36
180,39
32,2
130,25
135,35
44,2
163,36
33,2
62,2
157,25
72,2
124,32
72,2
76,2
192,36
59,2
44,2
18,2
16,2
18,2
145,25
78,17
64,17
12,6
191,36
15,1
191,36
48,2
113,25
28,12
23,4
12,6
15,1
52,15
156,25
75,2
85,25
177,36
178,36
137,33
116,25
175,36
188,38
157,25
149,36
114,25
20,3
72,2
2,1
16,2
130,25
190,36
23,4
192,36
169,25
152,33
22,3
58,2
97,22
116,25
43,2
196,33
76,2
73,2
35,3
33,2
105,17
120,17
146,25
178,36
153,33
182,33
180,39
141,25
131,25
64,17
4,2
191,36
91,17
100,25
158,25
102,25
184,25
125,33
182,33
85,25
27,11
99,25
165,33
140,33
60,2
34,2
31,2
113,25
29,2
97,22
125,33
125,33
141,25
56,16
22,3
19,2
162,36
33,2
2,1
23,4
33,2
178,36
75,2
100,25
196,33
1,1
125,33
190,36
44,2
27,11
96,22
179,39
8,4
99,25
138,33
22,3
188,38
117,25
92,17
127,25
21,3
59,2
62,2
196,33
51,13
44,2
19,2
169,25
69,20
19,2
97,22
146,25
59,2
187,40
151,33
184,25
104,25
59,2
167,33
28,12
91,17
139,33
133,25
136,35
94,17
168,33
154,33
153,33
162,36
41,11
64,17
181,33
174,38
139,33
79,17
116,25
19,2
168,33
140,33
171,25
16,2
138,33
103,25
131,25
18,2
157,25
84,24
51,13
19,2
156,25
26,10
7,3
105,17
139,33
35,3
121,30
82,22
126,33
5,2
51,13
84,24
11,5
188,38
41,11
76,2
82,22
154,33
126,33
144,25
139,33
106,17
91,17
16,2
89,26
77,17
157,25
18,2
157,25
116,25
103,25
180,39
92,17
156,25
194,39
178,36
154,33
22,3
20,3
105,17
126,33
14,8
167,33
141,25
11,5
192,36
1,1
31,2
114,25
101,25
93,17
74,2
106,17
60,2
125,33
51,13
127,25
140,33
86,25
9,4
98,23
153,33
73,2
114,25
126,33
118,25
158,25
127,25
19,2
117,25
156,25
153,33
156,25
129,25
98,23
159,25
126,33
125,33
182,33
24,9
191,36
170,25
63,17
62,2
173,38
50,13
163,36
11,5
125,33
182,33
127,25
177,36
125,33
185,37
180,39
181,33
11,5
32,2
159,25
103,25
49,2
189,36
32,2
18,2
164,36
12,6
169,25
154,33
123,32
1,1
173,38
33,2
154,33
142,25
153,33
181,33
41,11
46,2
9,4
84,24
71,2
130,25
167,33
118,25
1,1
101,25
117,25
191,36
4,2
189,36
116,25
58,2
106,17
1,1
36,3
143,25
2,1
45,2
189,36
113,25
104,25
2,1
140,33
82,22
185,37
73,2
83,23
16,2
135,35
153,33
1,1
116,25
29,2
4,2
116,25
122,31
29,2
158,25
166,33
10,5
193,39
81,18
6,3
15,1
132,25
143,25
13,7
