FlowSOM_cluster,FlowSOM_metacluster
53,42
75,55
99,59
6,5
95,55
83,43
1,1
77,45
51,24
6,5
67,45
71,50
63,43
86,55
78,45
52,41
68,52
82,43
76,55
13,2
30,23
81,41
49,39
86,55
98,45
62,50
68,52
20,16
77,45
83,43
53,42
77,45
73,43
67,45
99,59
48,38
63,43
81,41
92,62
12,2
61,50
59,48
9,8
75,55
90,60
82,43
67,45
18,14
60,49
51,24
55,44
18,14
62,50
69,53
31,24
75,55
76,55
76,55
65,51
81,41
10,9
30,23
2,2
12,2
27,21
86,55
2,2
64,50
28,21
80,57
84,43
5,4
56,45
92,62
84,43
95,55
44,34
49,39
4,3
83,43
12,2
25,20
38,29
12,2
66,45
7,6
79,56
39,30
96,55
26,20
60,49
59,48
37,21
69,53
38,29
93,43
7,6
10,9
92,62
78,45
60,49
60,49
35,28
56,45
80,57
88,52
47,37
7,6
97,55
92,62
3,3
73,43
32,25
66,45
3,3
54,43
1,1
86,55
66,45
63,43
3,3
16,13
72,50
86,55
78,45
3,3
77,45
83,43
4,3
3,3
91,61
49,39
3,3
30,23
54,43
47,37
81,41
81,41
13,2
30,23
82,43
74,43
84,43
98,45
37,21
98,45
68,52
60,49
13,2
93,43
76,55
6,5
100,59
37,21
73,43
17,6
55,44
72,50
67,45
74,43
14,11
76,55
2,2
97,55
9,8
8,7
84,43
87,45
82,43
13,2
2,2
88,52
72,50
90,60
29,22
66,45
77,45
51,24
62,50
46,36
19,15
72,50
18,14
94,55
93,43
48,38
76,55
63,43
5,4
14,11
59,48
51,24
81,41
90,60
31,24
66,45
93,43
83,43
98,45
30,23
92,62
70,54
13,2
72,50
8,7
62,50
51,24
52,41
45,35
30,23
66,45
10,9
53,42
77,45
75,55
75,55
51,24
96,55
51,24
98,45
68,52
96,55
54,43
53,42
37,21
21,17
64,50
9,8
83,43
87,45
100,59
89,59
47,37
57,46
58,47
81,41
93,43
64,50
68,52
47,37
27,21
15,12
73,43
77,45
35,28
62,50
36,20
93,43
93,43
77,45
72,50
1,1
64,50
82,43
17,6
71,50
72,50
54,43
82,43
74,43
66,45
51,24
51,24
60,49
7,6
53,42
7,6
84,43
66,45
40,31
79,56
60,49
43,33
46,36
67,45
91,61
94,55
28,21
17,6
13,2
86,55
38,29
47,37
67,45
36,20
76,55
99,59
72,50
54,43
52,41
77,45
28,21
59,48
7,6
88,52
13,2
90,60
61,50
9,8
86,55
62,50
4,3
52,41
63,43
100,59
83,43
41,24
32,25
65,51
16,13
12,2
4,3
14,11
98,45
76,55
31,24
93,43
7,6
41,24
98,45
67,45
95,55
78,45
12,2
3,3
94,55
39,30
75,55
14,11
3,3
63,43
63,43
73,43
97,55
72,50
9,8
2,2
2,2
87,45
40,31
90,60
93,43
36,20
63,43
54,43
79,56
74,43
26,20
82,43
94,55
3,3
53,42
2,2
28,21
71,50
39,30
9,8
15,12
79,56
96,55
12,2
100,59
47,37
86,55
41,24
74,43
100,59
71,50
63,43
14,11
45,35
71,50
83,43
88,52
20,16
74,43
9,8
55,44
72,50
58,47
24,11
87,45
76,55
71,50
3,3
30,23
41,24
13,2
66,45
23,19
32,25
3,3
4,3
13,2
36,20
40,31
51,24
4,3
47,37
13,2
42,32
84,43
74,43
4,3
3,3
67,45
72,50
12,2
95,55
86,55
73,43
67,45
19,15
45,35
74,43
78,45
48,38
89,59
51,24
13,2
100,59
21,17
8,7
2,2
74,43
45,35
19,15
70,54
47,37
40,31
82,43
9,8
13,2
11,10
77,45
2,2
32,25
41,24
54,43
85,58
31,24
77,45
74,43
67,45
77,45
86,55
15,12
31,24
87,45
6,5
28,21
13,2
90,60
99,59
41,24
2,2
30,23
4,3
98,45
69,53
17,6
53,42
73,43
76,55
95,55
42,32
71,50
32,25
63,43
12,2
45,35
76,55
3,3
94,55
80,57
10,9
4,3
52,41
76,55
2,2
66,45
87,45
66,45
74,43
97,55
87,45
13,2
77,45
78,45
10,9
56,45
2,2
12,2
3,3
59,48
7,6
78,45
32,25
63,43
47,37
63,43
36,20
70,54
12,2
4,3
74,43
27,21
2,2
67,45
4,3
5,4
70,54
83,43
67,45
86,55
92,62
37,21
73,43
73,43
16,13
60,49
98,45
13,2
1,1
53,42
58,47
63,43
24,11
99,59
13,2
14,11
39,30
83,43
80,57
19,15
64,50
97,55
14,11
75,55
53,42
95,55
75,55
7,6
54,43
37,21
96,55
71,50
41,24
53,42
99,59
77,45
54,43
72,50
37,21
97,55
51,24
62,50
3,3
9,8
68,52
52,41
19,15
73,43
35,28
14,11
53,42
96,55
62,50
63,43
86,55
22,18
62,50
87,45
14,11
70,54
6,5
8,7
99,59
43,33
65,51
87,45
30,23
77,45
7,6
3,3
41,24
74,43
17,6
23,19
41,24
87,45
66,45
8,7
88,52
67,45
97,55
25,20
84,43
75,55
81,41
77,45
77,45
85,58
35,28
49,39
12,2
48,38
78,45
96,55
84,43
3,3
6,5
86,55
56,45
69,53
7,6
41,24
63,43
91,61
3,3
45,35
47,37
63,43
36,20
5,4
15,12
66,45
67,45
74,43
3,3
94,55
96,55
78,45
67,45
9,8
69,53
1,1
30,23
88,52
19,15
60,49
62,50
75,55
74,43
41,24
96,55
51,24
54,43
3,3
97,55
8,7
75,55
69,53
68,52
5,4
13,2
3,3
7,6
87,45
78,45
74,43
77,45
86,55
45,35
31,24
20,16
48,38
29,22
28,21
33,26
75,55
65,51
2,2
87,45
76,55
5,4
10,9
14,11
6,5
97,55
86,55
42,32
75,55
88,52
47,37
74,43
93,43
88,52
74,43
60,49
86,55
62,50
52,41
28,21
97,55
43,33
51,24
77,45
76,55
41,24
53,42
98,45
16,13
13,2
25,20
72,50
14,11
97,55
53,42
99,59
17,6
78,45
87,45
90,60
60,49
57,46
65,51
3,3
85,58
92,62
89,59
98,45
48,38
73,43
87,45
27,21
6,5
30,23
8,7
12,2
20,16
97,55
27,21
25,20
73,43
5,4
94,55
68,52
64,50
24,11
88,52
51,24
19,15
86,55
14,11
39,30
62,50
38,29
12,2
95,55
51,24
37,21
35,28
78,45
52,41
40,31
33,26
10,9
62,50
90,60
100,59
46,36
13,2
6,5
26,20
56,45
5,4
51,24
75,55
84,43
39,30
76,55
75,55
9,8
97,55
87,45
98,45
86,55
8,7
8,7
84,43
86,55
24,11
43,33
25,20
51,24
56,45
78,45
31,24
16,13
39,30
4,3
60,49
10,9
27,21
40,31
51,24
74,43
65,51
80,57
36,20
6,5
48,38
6,5
3,3
5,4
97,55
8,7
72,50
62,50
19,15
39,30
67,45
1,1
14,11
59,48
48,38
9,8
90,60
57,46
66,45
74,43
21,17
38,29
99,59
45,35
13,2
8,7
72,50
73,43
24,11
99,59
25,20
63,43
3,3
12,2
44,34
78,45
13,2
13,2
28,21
