FlowSOM_cluster,FlowSOM_metacluster
253,19
230,15
279,15
255,15
279,15
257,21
255,15
231,19
255,15
203,21
279,15
255,15
279,15
231,19
255,15
255,15
255,15
231,19
72,9
230,15
231,19
230,15
231,19
257,21
233,21
256,21
231,19
256,21
279,15
256,21
229,19
255,15
230,15
253,19
230,15
256,21
232,21
231,19
232,21
256,21
253,19
279,15
208,7
231,19
279,15
256,21
256,21
230,15
231,19
279,15
230,15
255,15
279,15
255,15
253,19
279,15
254,15
230,15
232,21
254,15
255,15
279,15
279,15
230,15
230,15
278,26
209,7
255,15
231,19
230,15
204,19
257,21
255,15
257,21
254,15
96,15
232,21
231,19
254,15
231,19
253,19
232,21
232,21
254,15
255,15
231,19
96,15
205,19
96,15
231,19
230,15
255,15
255,15
232,21
256,21
96,15
253,19
227,21
255,15
120,15
209,7
231,19
230,15
255,15
253,19
230,15
120,15
253,19
253,19
279,15
227,21
254,15
120,15
230,15
255,15
254,15
255,15
120,15
205,19
279,15
254,15
231,19
230,15
279,15
279,15
254,15
279,15
302,26
255,15
279,15
279,15
254,15
205,19
279,15
253,19
279,15
232,21
231,19
255,15
255,15
180,19
206,19
230,15
279,15
279,15
256,21
205,19
256,21
255,15
255,15
232,21
230,15
279,15
279,15
256,21
254,15
96,15
279,15
230,15
255,15
279,15
256,21
256,21
279,15
231,19
230,15
279,15
255,15
230,15
232,21
253,19
96,15
253,19
256,21
255,15
230,15
230,15
209,7
231,19
230,15
279,15
255,15
255,15
20,8
255,15
279,15
227,21
230,15
303,30
232,21
230,15
256,21
255,15
184,7
255,15
232,21
205,19
206,19
279,15
232,21
230,15
205,19
256,21
280,20
256,21
230,15
230,15
255,15
279,15
230,15
204,19
231,19
230,15
278,26
255,15
256,21
230,15
206,19
279,15
255,15
256,21
279,15
231,19
255,15
230,15
279,15
232,21
279,15
279,15
232,21
279,15
232,21
278,26
279,15
204,19
253,19
279,15
232,21
278,26
279,15
278,26
230,15
230,15
206,19
257,21
231,19
232,21
231,19
231,19
277,26
279,15
255,15
96,15
72,9
230,15
230,15
231,19
96,15
204,19
279,15
256,21
253,19
230,15
232,21
255,15
232,21
279,15
279,15
277,26
120,15
279,15
255,15
231,19
349,36
96,15
204,19
231,19
232,21
349,36
209,7
257,21
279,15
254,15
229,19
230,15
204,19
231,19
255,15
231,19
209,7
255,15
255,15
255,15
255,15
278,26
232,21
255,15
230,15
279,15
209,7
230,15
229,19
279,15
256,21
279,15
349,36
255,15
232,21
255,15
120,15
96,15
206,19
257,21
254,15
231,19
255,15
255,15
279,15
279,15
232,21
96,15
326,26
231,19
279,15
254,15
230,15
229,19
255,15
254,15
254,15
96,15
96,15
253,19
256,21
279,15
230,15
256,21
255,15
204,19
204,19
255,15
96,15
280,20
256,21
349,36
120,15
279,15
231,19
255,15
255,15
120,15
239,18
349,36
254,15
256,21
232,21
230,15
257,21
229,19
256,21
255,15
255,15
96,15
231,19
227,21
230,15
256,21
230,15
96,15
205,19
326,26
231,19
230,15
230,15
232,21
254,15
230,15
254,15
96,15
229,19
279,15
279,15
232,21
255,15
279,15
254,15
231,19
278,26
120,15
230,15
232,21
254,15
255,15
279,15
255,15
96,15
96,15
205,19
96,15
120,15
96,15
206,19
255,15
230,15
256,21
207,7
255,15
232,21
257,21
232,21
279,15
256,21
230,15
20,8
255,15
255,15
279,15
253,19
96,15
279,15
120,15
277,26
255,15
229,19
96,15
230,15
230,15
230,15
230,15
230,15
255,15
230,15
204,19
279,15
230,15
230,15
206,19
254,15
279,15
96,15
278,26
232,21
255,15
232,21
253,19
254,15
255,15
120,15
279,15
279,15
229,19
256,21
256,21
279,15
203,21
326,26
279,15
230,15
205,19
279,15
256,21
96,15
120,15
490,49
256,21
255,15
255,15
255,15
279,15
254,15
232,21
279,15
279,15
279,15
232,21
254,15
302,26
232,21
230,15
255,15
256,21
232,21
256,21
232,21
255,15
279,15
96,15
96,15
120,15
96,15
230,15
232,21
96,15
254,15
230,15
231,19
279,15
230,15
253,19
255,15
255,15
227,21
255,15
255,15
255,15
278,26
96,15
205,19
279,15
231,19
120,15
232,21
231,19
279,15
255,15
256,21
256,21
255,15
279,15
279,15
279,15
255,15
255,15
280,20
230,15
232,21
230,15
279,15
232,21
255,15
205,19
279,15
232,21
255,15
231,19
230,15
231,19
230,15
231,19
120,15
231,19
120,15
256,21
253,19
279,15
278,26
254,15
302,26
255,15
278,26
279,15
72,9
120,15
302,26
254,15
256,21
232,21
204,19
279,15
232,21
257,21
254,15
206,19
255,15
231,19
255,15
255,15
255,15
256,21
204,19
279,15
232,21
230,15
328,20
279,15
279,15
256,21
96,15
232,21
279,15
279,15
255,15
230,15
255,15
255,15
72,9
279,15
279,15
232,21
279,15
96,15
255,15
256,21
279,15
230,15
96,15
279,15
254,15
256,21
256,21
256,21
207,7
278,26
256,21
255,15
278,26
205,19
231,19
230,15
279,15
256,21
255,15
232,21
229,19
256,21
204,19
232,21
254,15
254,15
231,19
232,21
254,15
255,15
279,15
255,15
204,19
209,7
232,21
209,7
302,26
255,15
256,21
255,15
256,21
279,15
279,15
255,15
254,15
232,21
232,21
205,19
230,15
209,7
255,15
231,19
228,19
205,19
254,15
231,19
230,15
255,15
348,36
230,15
232,21
232,21
279,15
253,19
232,21
255,15
230,15
96,15
231,19
256,21
279,15
96,15
255,15
255,15
279,15
209,7
144,18
255,15
205,19
254,15
96,15
231,19
231,19
254,15
279,15
255,15
232,21
231,19
231,19
255,15
231,19
256,21
256,21
205,19
257,21
204,19
255,15
96,15
257,21
256,21
120,15
279,15
256,21
72,9
279,15
230,15
255,15
326,26
232,21
490,49
279,15
256,21
255,15
279,15
255,15
96,15
96,15
230,15
231,19
253,19
277,26
279,15
255,15
254,15
231,19
279,15
349,36
232,21
255,15
96,15
255,15
257,21
255,15
303,30
279,15
279,15
96,15
279,15
231,19
256,21
253,19
256,21
231,19
120,15
230,15
255,15
231,19
279,15
230,15
231,19
254,15
255,15
256,21
279,15
279,15
120,15
231,19
255,15
96,15
96,15
96,15
96,15
257,21
279,15
232,21
230,15
255,15
229,19
96,15
204,19
96,15
232,21
96,15
120,15
256,21
280,20
279,15
230,15
255,15
279,15
230,15
96,15
96,15
180,19
256,21
232,21
120,15
232,21
209,7
231,19
206,19
255,15
229,19
232,21
229,19
204,19
120,15
232,21
278,26
254,15
279,15
231,19
227,21
96,15
230,15
349,36
255,15
253,19
230,15
232,21
256,21
205,19
256,21
256,21
120,15
255,15
231,19
231,19
232,21
253,19
231,19
255,15
253,19
279,15
230,15
255,15
278,26
229,19
96,15
255,15
96,15
255,15
206,19
208,7
231,19
255,15
255,15
231,19
203,21
205,19
254,15
230,15
230,15
255,15
257,21
96,15
230,15
255,15
279,15
255,15
278,26
279,15
253,19
231,19
279,15
279,15
230,15
256,21
230,15
230,15
256,21
232,21
255,15
230,15
255,15
96,15
229,19
253,19
231,19
328,20
232,21
253,19
206,19
255,15
255,15
120,15
279,15
254,15
255,15
279,15
279,15
256,21
230,15
120,15
