FlowSOM_cluster,FlowSOM_metacluster
408,10
439,10
471,10
439,10
470,10
381,10
410,10
409,10
440,10
315,10
470,10
440,10
471,10
380,10
410,10
351,10
380,10
380,10
27,5
347,10
380,10
379,10
349,10
352,10
352,10
381,10
380,10
381,10
469,10
381,10
378,10
380,10
348,10
351,10
347,10
410,10
351,10
349,10
381,10
352,10
351,10
469,10
351,10
379,10
471,10
411,10
381,10
267,11
379,10
471,10
347,10
440,10
500,10
469,10
376,14
471,10
380,10
410,10
351,10
408,10
440,10
471,10
470,10
409,10
378,10
438,10
322,10
410,10
349,10
379,10
347,10
352,10
440,10
352,10
378,10
440,10
380,10
380,10
408,10
379,10
408,10
352,10
351,10
439,10
440,10
439,10
440,10
347,10
440,10
379,10
409,10
410,10
410,10
351,10
381,10
409,10
352,10
352,10
410,10
470,10
352,10
380,10
348,10
410,10
376,14
409,10
470,10
347,10
347,10
500,10
346,10
439,10
471,10
351,10
470,10
439,10
350,10
470,10
347,10
470,10
439,10
379,10
379,10
471,10
500,10
439,10
469,10
499,18
410,10
470,10
470,10
439,10
347,10
471,10
322,10
470,10
321,5
378,10
469,10
441,10
380,10
348,10
379,10
470,10
469,10
410,10
347,10
381,10
410,10
410,10
351,10
347,10
501,10
469,10
381,10
409,10
440,10
470,10
378,10
411,10
470,10
381,10
411,10
500,10
379,10
378,10
500,10
380,10
410,10
351,10
376,14
440,10
408,10
347,10
380,10
378,10
378,10
352,10
409,10
410,10
471,10
441,10
410,10
26,6
410,10
471,10
352,10
380,10
469,10
351,10
378,10
381,10
380,10
410,10
471,10
351,10
347,10
379,10
469,10
351,10
379,10
347,10
381,10
471,10
352,10
439,10
409,10
470,10
439,10
379,10
351,10
380,10
378,10
469,10
410,10
410,10
379,10
379,10
471,10
380,10
410,10
410,10
380,10
410,10
379,10
470,10
381,10
322,10
471,10
380,10
470,10
351,10
351,10
351,10
347,10
376,14
470,10
351,10
469,10
352,10
438,10
379,10
410,10
409,10
352,10
349,10
351,10
380,10
379,10
437,14
470,10
439,10
409,10
409,10
378,10
378,10
379,10
410,10
351,10
470,10
381,10
351,10
378,10
351,10
440,10
351,10
470,10
470,10
468,18
471,10
351,10
411,10
380,10
439,10
440,10
350,10
380,10
351,10
526,20
352,10
352,10
470,10
408,10
378,10
378,10
346,10
380,10
410,10
379,10
351,10
469,10
410,10
380,10
471,10
469,10
381,10
410,10
410,10
501,10
352,10
380,10
407,10
470,10
381,10
471,10
526,20
409,10
322,10
470,10
471,10
440,10
378,10
352,10
439,10
379,10
410,10
441,10
351,10
501,10
351,10
439,10
528,18
349,10
471,10
408,10
410,10
408,10
410,10
408,10
408,10
440,10
440,10
351,10
381,10
470,10
408,10
381,10
380,10
347,10
351,10
380,10
440,10
471,10
381,10
557,18
471,10
500,10
409,10
470,10
351,10
470,10
502,11
526,20
408,10
380,10
381,10
408,10
352,10
407,10
379,10
439,10
470,10
440,10
379,10
352,10
378,10
381,10
410,10
440,10
347,10
497,18
469,10
409,10
378,10
351,10
469,10
410,10
500,10
409,10
378,10
470,10
500,10
351,10
379,10
471,10
408,10
379,10
438,10
470,10
379,10
351,10
408,10
410,10
500,10
441,10
440,10
440,10
347,10
440,10
470,10
439,10
379,10
410,10
378,10
351,10
380,10
410,10
381,10
352,10
351,10
352,10
351,10
322,10
27,5
409,10
410,10
469,10
376,14
440,10
470,10
470,10
437,14
441,10
378,10
440,10
410,10
410,10
378,10
410,10
379,10
470,10
410,10
351,10
469,10
410,10
408,10
409,10
378,10
470,10
439,10
469,10
380,10
410,10
352,10
347,10
408,10
410,10
470,10
469,10
471,10
377,10
352,10
381,10
471,10
315,10
528,18
352,10
410,10
347,10
469,10
381,10
440,10
471,10
732,22
411,10
410,10
380,10
440,10
470,10
378,10
351,10
470,10
469,10
351,10
381,10
439,10
499,18
380,10
410,10
410,10
381,10
351,10
352,10
351,10
410,10
470,10
409,10
440,10
500,10
440,10
