param,f1,accuracy,ari,v_measure,num_cluster,grid_size,seed
1,0.5417056,0.784970702288769,0.8140318402388776,0.8266077453892163,70,28,32
2,0.4072654,0.6720613600499101,0.6559874306902967,0.7737188072637734,35,21,32
3,0.5772384,0.8055586137717592,0.826633480709734,0.8369478360107273,60,13,32
4,0.5359893,0.7833437312684257,0.804114626547587,0.8203965376137852,57,19,32
5,0.5419294,0.8348930235971962,0.8060484961716441,0.832619855562472,42,10,32
6,0.4763498,0.5641307937905978,0.5608868961939439,0.7698380271789136,72,10,32
7,0.4123418,0.6834134585978691,0.6603074309546895,0.7750518395457838,33,20,32
8,0.5238362,0.7783037909648061,0.7759733053821934,0.8246338287545366,44,14,32
9,0.4898015,0.7597465350410413,0.7672490626954163,0.8216818356807464,40,26,32
10,0.327411,0.6743122071757985,0.6537396087842615,0.7665479641030885,24,18,32
11,0.5275606,0.7896436566479503,0.7853142626564233,0.824227584183009,51,10,32
12,0.4951292,0.7954787331645198,0.792372032256083,0.8280600425709752,38,28,32
13,0.520875,0.8104272939679743,0.8030123224508345,0.8208968885395949,51,27,32
14,0.5660786,0.8526796090376405,0.8486731408966353,0.8388286097644808,50,22,32
15,0.5772309,0.8692551408614383,0.8436138308305091,0.8465363778358364,39,11,32
16,0.5432909,0.811320293099441,0.8030761617755976,0.8210333145674219,53,27,32
17,0.4529754,0.7194759440713421,0.6938348753748599,0.7944405560169164,39,15,32
18,0.5738629,0.834207983167578,0.7997315088255184,0.8265637604350753,43,12,32
19,0.3921039,0.6905574516496018,0.6660652461184555,0.7800603882617311,29,15,32
20,0.3828566,0.6818843504960427,0.6611500674602059,0.7737977980522087,32,30,32
21,0.4994817,0.7945368025737948,0.7854332440582673,0.8291912216886909,43,15,32
22,0.3176444,0.6722448530221292,0.6537794342680794,0.7641330602680458,25,29,32
23,0.5655142,0.788334740112787,0.8145964096872574,0.8342165185602495,55,11,32
24,0.3272976,0.6691377053592181,0.6522981982297757,0.761800049945079,25,23,32
25,0.33902,0.6752419049017089,0.6604017763601049,0.7702641944794631,27,29,32
26,0.3991299,0.6659571605074193,0.6546530069716061,0.7734046756546831,36,25,32
27,0.5705257,0.7899984097275741,0.8232778836212045,0.8312497117789834,66,29,32
28,0.5312074,0.8726314115502709,0.8686412112773987,0.8520852060052664,40,30,32
29,0.5536404,0.753434376796702,0.7652919399079768,0.8129751967470795,62,12,32
30,0.5312748,0.8477008330580938,0.8367693188408555,0.8413511785272866,47,16,32
31,0.5364015,0.7912706276682936,0.8010361263658237,0.8264776673712719,54,26,32
32,0.4057788,0.6861903189107857,0.6657128046072771,0.7781772150462964,29,10,32
33,0.5694374,0.823332966347389,0.8411514995207182,0.8434030165452855,49,13,32
34,0.3653757,0.6822635693052956,0.6620582348841563,0.7730340459603244,30,30,32
35,0.5254669,0.7478928890356833,0.7405530128672598,0.8071451000747504,67,20,32
36,0.5722413,0.7846037163443307,0.8104867833448962,0.827010746534852,59,22,32
37,0.5342853,0.7821571433814085,0.799707582892895,0.8269015733691708,54,16,32
38,0.5365733,0.8310396711805937,0.8367309955559935,0.8397989259572839,45,21,32
39,0.5518021,0.7154635644121496,0.7352332068140327,0.8047221097591376,67,12,32
40,0.5028321,0.7955276646237782,0.7893696991585255,0.8311639299386413,45,15,32
41,0.5731231,0.8565818929135014,0.850502815718362,0.8405665403587256,45,22,32
42,0.4593803,0.7520153644782072,0.7231548634064439,0.8057273688502075,34,11,32
43,0.5620295,0.7996501400663021,0.8248207062775639,0.8344985314922404,57,29,32
44,0.5598635,0.8710533719891862,0.8587996476969633,0.8481560939167782,46,28,32
45,0.5445988,0.7801387206869976,0.7842125725796674,0.8146760408025794,61,27,32
46,0.5532216,0.787294946603545,0.8056806738643076,0.8330590044408525,53,14,32
47,0.3518737,0.6753764664146696,0.655154810546416,0.7716974714496769,26,14,32
48,0.5344973,0.7761385738926199,0.7746977256282734,0.8131407485063844,72,23,32
49,0.5556882,0.7906345186979339,0.7864498214243103,0.8227825647292223,70,17,32
50,0.5474933,0.8268070999547384,0.8220583303898606,0.8354106082636253,48,26,32
51,0.5291259,0.7743648084945013,0.7888680792949002,0.8164095394358646,61,25,32
52,0.529099,0.8012526453570161,0.8059266515252429,0.8267147256861287,50,24,32
53,0.5633819,0.8065861744161865,0.8335954991885607,0.837616851242171,56,29,32
54,0.3837837,0.6751318091183774,0.6598998143117255,0.7721221123531931,29,29,32
55,0.4841326,0.737715145509927,0.754413455880452,0.8115859510250649,43,21,32
56,0.5597474,0.782707622298066,0.8042076769828005,0.8300331305830119,57,14,32
58,0.3995154,0.675645589440591,0.6607425763789282,0.7776608598924121,33,25,32
59,0.5421163,0.7917966408553219,0.8061562038207988,0.826086323689443,56,18,32
60,0.5445385,0.7822305405702962,0.7946381772216168,0.8219359452320535,68,18,32
61,0.5348465,0.7847015792628476,0.8042169797975361,0.8207738519268895,52,19,32
62,0.519983,0.7613001088724969,0.7826411987146284,0.8133354492938403,66,24,32
63,0.518728,0.7576914137521866,0.7759254968360468,0.8120954595309473,64,24,32
65,0.5273285,0.7547677590614946,0.7471206394775812,0.8095295147949352,58,20,32
66,0.4589661,0.7668660623631448,0.762053654953872,0.8073877937233764,37,27,32
67,0.4203639,0.7229745434083208,0.7008477633540059,0.7923105399958554,28,13,32
68,0.5306597,0.7618628206539689,0.7812268850102759,0.8191826207922763,64,16,32
69,0.4771029,0.7456909733690533,0.7557280820154327,0.8031110571239785,46,19,32
70,0.5288155,0.8122744565549807,0.813972913489725,0.8293449422011465,49,25,32
71,0.4416744,0.7144360037677223,0.6992809749245468,0.7901187704473273,36,19,32
72,0.3974151,0.677345957649822,0.6575884351682864,0.7722138919281416,33,23,32
73,0.4470332,0.7212130108750168,0.6983433561937746,0.7920732957414974,35,13,32
74,0.5680555,0.7808726925758743,0.8036127017141329,0.829212499267091,65,14,32
75,0.5543054,0.7125521425862723,0.7224218467581266,0.8097462130650289,63,11,32
76,0.5128535,0.8562026741042484,0.8416851028913771,0.8448808705040683,38,16,32
77,0.5463396,0.765789570259459,0.7854759984886187,0.8220746170749215,69,15,32
78,0.3818693,0.6821167749275203,0.661264212439552,0.7740587883013602,31,30,32
79,0.5436505,0.7909892717775576,0.7861725856637855,0.8228545271943875,61,17,32
80,0.5448269,0.6791808873720137,0.6669104457097779,0.7957850368535202,71,11,32
81,0.5104861,0.7625356282187725,0.7811432302454449,0.8136664626878127,59,24,32
84,0.5721999,0.833767600034252,0.848254359694718,0.8469254261146031,48,13,32
85,0.3770025,0.6786181755905415,0.6625023228995577,0.7734575971448373,34,17,32
86,0.5382937,0.8029407807014325,0.7855782040458711,0.8249836227880711,52,20,32
87,0.3701965,0.6790952573183113,0.6601630450414138,0.7726887100466656,28,24,32
88,0.5659164,0.8531322250357811,0.8481492196120642,0.8385366524301857,47,22,32
89,0.5259863,0.7479051219004978,0.7405765403366713,0.8073303433024441,65,20,32
90,0.5527697,0.7906834501571923,0.7864449751355443,0.8228615401855779,65,17,32
91,0.5344973,0.7761385738926199,0.7746977256282734,0.8131407485063844,71,23,32
92,0.381235,0.6761716026276193,0.662077888686768,0.7758404892336628,31,16,32
93,0.3817621,0.6766242186257599,0.6641650982813724,0.7654549294043423,31,27,32
94,0.5250637,0.810280499590199,0.7956465607556138,0.823151852590201,54,23,32
95,0.4905443,0.7602113839039965,0.7671543442897059,0.821361664023533,42,26,32
96,0.4779638,0.7378007755636292,0.7539612548774923,0.8113352893294522,41,21,32
97,0.5361343,0.7718937698019499,0.7984958674575536,0.8175646002139634,69,19,32
98,0.4076103,0.6902638628940512,0.6614948240158853,0.777718398109103,27,11,32
100,0.3194693,0.6755721922517034,0.6596636647747806,0.7683377691749835,26,26,32
