param,f1,accuracy,ari,v_measure,num_cluster,grid_size,seed
1,0.7388847,0.8636450894571144,0.8663144954581864,0.8767998077562491,42,24,32
2,0.6924296,0.8497274053597481,0.8673929890183282,0.8788459719117631,37,28,32
3,0.583933,0.6806323427781618,0.6310358199991148,0.7921908182781823,31,24,32
4,0.7189978,0.9057820778622437,0.91109290349432,0.9047525253478103,33,15,32
5,0.7390424,0.8863261153344083,0.8887258300475718,0.8897713994200945,39,30,32
6,0.5722764,0.723191660907625,0.6697640777471202,0.8109142349189004,25,18,32
7,0.7350124,0.8372398832834217,0.8226145839663143,0.8617857102426841,41,26,32
8,0.7819036,0.8852318974122706,0.8865678163417222,0.896494024387598,37,19,32
9,0.5513771,0.7290562850341703,0.6764869633189278,0.8166031364995883,28,19,32
10,0.6835685,0.8512535514090456,0.8400636751302593,0.8694125493402098,37,26,32
11,0.4740147,0.7433099132304385,0.6923271443960215,0.8204481500565043,16,21,32
12,0.48889,0.7292962451048146,0.6809985917919446,0.8167418511775123,24,26,32
13,0.4740893,0.7433099132304385,0.69232687531092,0.8203565499114813,18,21,32
14,0.5989922,0.7317630346310374,0.674328009144366,0.8128525534855625,30,22,32
15,0.7430725,0.8446210550564386,0.8436325110409483,0.8741699959297056,42,21,32
16,0.4261764,0.7381363741073486,0.6945463236583821,0.8256618466805555,14,12,32
17,0.6959464,0.8797224141902787,0.8846297842000672,0.8936899324956609,28,10,32
18,0.4887672,0.7332603854718575,0.6851806356089992,0.8203709466615889,20,18,32
19,0.7196141,0.7754261690854641,0.7885840591392934,0.847828004740479,42,10,32
20,0.7260295,0.9055901098057283,0.9111108034896315,0.9048646862825671,34,15,32
21,0.7621811,0.9292213775627736,0.9368822048661912,0.9150109233432174,31,14,32
22,0.5465716,0.7206672809644475,0.6603066680234793,0.8140300228503995,29,29,32
23,0.773102,0.8828706903171313,0.8846881811684653,0.8912807744762584,36,25,32
24,0.5581108,0.7228461184058973,0.6600801246510802,0.8145530027812976,26,13,32
26,0.7144938,0.9159755816632112,0.9159041295177874,0.9084868827468019,26,12,32
27,0.7663736,0.8753551409045535,0.8688799517637523,0.8835701255685042,40,29,32
28,0.7073168,0.8693465407356216,0.8671324404510061,0.891460883471441,33,13,32
29,0.5771273,0.7330108269983875,0.6791319071005133,0.8189455001387954,24,14,32
30,0.4832749,0.7303040774015204,0.6828317366265191,0.8172246163209,22,24,32
31,0.7658523,0.8656991476618291,0.8666880764061766,0.8845012386463975,35,11,32
32,0.5373821,0.7303424710128235,0.6813552390431948,0.8179229395014892,25,26,32
33,0.7699672,0.8506392536281963,0.8445751293761646,0.8809961885075401,38,13,32
34,0.4284091,0.7291810642709053,0.6813808792254595,0.815049099038615,15,24,32
35,0.7669159,0.8820932196882438,0.877747383741241,0.8884645728502425,38,29,32
36,0.4646365,0.7184884435229978,0.6704818639580588,0.8124777416783885,23,23,32
37,0.587634,0.6907298625508715,0.6273803199029677,0.7918207385454328,29,20,32
38,0.7061112,0.9143726483913077,0.9084141924390546,0.9065089192768666,27,11,32
39,0.4309142,0.7288835137833064,0.6825119234641851,0.8151011769756823,18,24,32
40,0.7187488,0.9057916762650695,0.911139866622707,0.9050313589631287,32,15,32
41,0.4738227,0.7132861091914305,0.6640544832762332,0.8155314156130496,21,17,32
42,0.5397947,0.7044459801888966,0.6551165310842451,0.8086493944427263,30,16,32
43,0.7362885,0.8792904860631191,0.8779445041189164,0.8894303205131364,36,17,32
44,0.4965546,0.7365526376410966,0.6882271856369507,0.8226107695939275,16,14,32
45,0.6070435,0.7018544114259387,0.634021366994194,0.8041396632155506,31,28,32
47,0.4718485,0.715436151424403,0.6665700136902535,0.8205360429084936,15,13,32
48,0.4683658,0.7087556630576672,0.6589654711208839,0.8131441856339399,20,20,32
49,0.7804594,0.8748464255547876,0.8676307000019404,0.8894419217474294,38,19,32
51,0.7537756,0.8834369960838516,0.87510867936111,0.8899737417990295,35,12,32
52,0.4795106,0.7175573984488981,0.6680552829491722,0.8142823798586314,17,12,32
53,0.7063941,0.9071066574522,0.9089935603491021,0.903694574012601,34,16,32
54,0.4137358,0.7182484834523535,0.6715825178020969,0.8192045876327585,16,20,32
55,0.4738706,0.7138140213468479,0.6639943837598734,0.8155165905797076,19,17,32
56,0.6892467,0.8775915687629579,0.8835030135693629,0.8901564353616964,33,28,32
57,0.5569018,0.7371381402134685,0.6793056233300583,0.8245309284056894,17,11,32
58,0.4644993,0.7121055056438609,0.6615048679705404,0.8104430913009614,21,15,32
59,0.7552341,0.8970187360823159,0.900384334936556,0.8998514051132447,35,14,32
60,0.6283879,0.7328572525531751,0.6576589145262871,0.8200534521538012,29,25,32
61,0.553962,0.7236811794517393,0.6703893409678238,0.8185685899232101,21,10,32
62,0.5523363,0.7275973278046534,0.6694371829773466,0.8213301440817705,20,16,32
64,0.5490209,0.718478845120172,0.6594697701487275,0.8166440403980824,23,20,32
66,0.543953,0.706346463948399,0.64701094234593,0.8105020461656759,25,27,32
67,0.7506033,0.8481724641019734,0.8606275888979193,0.8789913864314094,39,27,32
68,0.5548265,0.7363798663902327,0.6785901201069746,0.8232774932240797,23,19,32
69,0.6901015,0.881882054826077,0.8869814903870158,0.8856256859022934,33,23,32
70,0.7500008,0.877418797512094,0.8933475230139576,0.8921627495974256,36,22,32
71,0.550817,0.7208208554096598,0.6615799672895737,0.8166597328821658,26,16,32
72,0.7753257,0.8749520079858711,0.878114018319997,0.8915210464991759,40,15,32
73,0.557749,0.7313982953236582,0.672605626370953,0.821830361761093,19,10,32
74,0.47828,0.7361495047224141,0.6898342077035488,0.8285455072277681,14,11,32
75,0.7794081,0.880960608154803,0.8810455743717602,0.8853635239123537,39,18,32
76,0.7011948,0.9133552176917761,0.9201944197734964,0.9082986330221877,30,21,32
77,0.5921614,0.6994836059279735,0.6384030110623288,0.7976499093130839,32,22,32
78,0.4653914,0.723479612992398,0.6761901255036864,0.816144218116169,21,23,32
79,0.701577,0.8732434922828841,0.8880348130028716,0.8887539874934939,35,22,32
80,0.5996453,0.7059337326268909,0.6438966504245854,0.8066255093580593,28,27,32
81,0.7747828,0.8619365737541274,0.8604019025284182,0.876408941486327,41,18,32
82,0.5437103,0.7271653996774937,0.6701557248867412,0.8147258494375967,27,23,32
83,0.6041298,0.7119039391845197,0.640568185518045,0.8066090552377553,26,27,32
84,0.6009371,0.7034861399063196,0.638478958496606,0.8043059926390476,27,27,32
85,0.477717,0.7218094909007141,0.6720899908264215,0.8182413636901616,18,10,32
86,0.7732378,0.8540466866313445,0.8491081043914461,0.871373228471346,42,18,32
87,0.4921449,0.7366294248637026,0.6850115911824866,0.8202036983969255,19,26,32
89,0.766612,0.8758062658373647,0.8715638806549829,0.8844526878954412,41,29,32
90,0.4342476,0.7247274053597481,0.6773810069161712,0.8144937755412163,15,28,32
91,0.6919628,0.8830722567764724,0.8886150238369472,0.8909841703420689,34,22,32
93,0.4654398,0.7224717806956923,0.6750202379683028,0.8141693621454745,22,23,32
94,0.5664905,0.7251881286953851,0.6682161948164457,0.8144647418670881,29,30,32
95,0.5492493,0.7284803808646241,0.6716906262306688,0.8188504484653156,24,29,32
96,0.5540726,0.725524072794287,0.6661358484744099,0.8203840238146618,22,25,32
97,0.4772749,0.7348537203409353,0.6878675590733278,0.8278863290657492,17,30,32
98,0.7517408,0.8390635798203179,0.8434777443670884,0.8730826412720867,40,17,32
99,0.6839038,0.9008964908239269,0.9162477647129633,0.9004882291272744,32,30,32
100,0.4683658,0.7087556630576672,0.65896264544769,0.8127734059030861,19,20,32
